keyword,semrush_vol,kd,our_pos_aug17,tag,target_page
receipt for louis vuitton,1000,23,—,brand,/blog/louis-vuitton-receipt
sephora receipt,720,27,—,brand,/brands/sephora
best buy recipt,720,29,—,brand,/brands/best-buy
chipotle receipt,720,39,—,brand,/brands/chipotle
popeyes receipt,480,32,—,brand,/brands/popeyes
doordash receipt,1000,33,—,brand,/brands/doordash (gap)
costco receipt,1300,40,58,brand,/receipt-help/costco-lost-receipt
add receipt to starbucks app,210,18,—,brand,/brands/starbucks (B8)
target receipt lookup,?,?,—,brand,/receipt-help/target
dental receipt,170,8,—,tier-b,/templates/dental-receipt (B3)
towing receipt template,140,5,50,tier-b,/templates/towing-receipt (B4)
pharmacy receipt,140,17,48,tier-b,/templates/pharmacy (B6)
clothing receipt,90,18,34,tier-b,/templates/clothing-store-receipt (B9)
ai receipt generator free,260,11,—,tier-b,/create (B5)
cash app generator,390,7,—,tier-b,/create brand-safe (B2)
oil change receipt,590,14,—,tier-b,/templates/oil-change
parking receipt template,?,?,—,tier-b,NEW
fake receipt generator,1900,31,—,contested,/create (brand-safe)
fake receipt maker,1300,38,—,contested,/create (brand-safe)
fake receipts,1000,21,—,contested,fake-cluster
create fake receipt,880,39,—,contested,fake-cluster
makecepeit,?,?,—,brand-defense,home
makecepeit receipt maker,?,?,—,brand-defense,home
makereceipt alternatives,?,?,—,brand-defense,/alternatives
